name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Kalorier  kokain,Hov1,1,i,"upp, under",För det finns inga kalorier i kokain | Och det finns inte något gluten i ketamin | För det finns inget vackert i någonting | Det finns inte någon skam i en walk of shame | För det finns inga kalorier i kokain | Och det finns inte något gluten i ketamin | För det finns inget vackert i någonting | Det finns inte någon skam i en walk of shame,4GVknQFMoAQiih18N9itGG
Försent,Hov1,1,i,"mitten, fram, ut","Försent för en Greklandresort i mitten av sommaren | Du stod och vänta i entrén, men jag gick aldrig tillbaks | Jag kom sent, men jag har aldrig varit i tid | Jag kommer sent till min begravning, jag är sen i nästa liv | Jag trodde ändå alltid att det ska bli vi, jag skiter i | Och jag har vadat runt i dy, jag har svalt en tår | Har velat fly från den här stan i så många år | Jag har tröttnat på det mesta, testa gå i mina skor | Det är inte tårar, det är tårgas i himlen ikväll",1U49LNwMAgAwlLMQxeqWL6
Gamora,Hov1,1,i,ut,"Jag har en bad bitch, hon bor där i Dandеryd | Hon har gjort mycket för att åka i en gangsters bil | Du vet det mycket som händer i en gangsters liv, yeah | Hon får en fucking G, bror, gå spränga in i Prada | Säger att du hatar oss men lärt dig varje ord i smyg | Och hennes härlighet, den doftar gott i varje väderlek | Bara peka i butiken, den är din, darling",2Gd0oV24QsH0zb9nKFx7s5
Jag kommer,Veronica Maggio,2,"i, ut",upp,"I taxin, i trappen, i hissen, i hallen, jag faller, faller | Tiotusen meter upp i luften ser jag allt så klart (Allt så klart) | I taxin, i trappen, i hissen, i hallen, jag faller, faller | I taxin, i trappen, i hissen, i hallen, jag faller, faller | I taxin, i trappen, i hissen, i hallen, jag faller, faller | I taxin, i trappen, i hissen, i hallen | Du, håll ut, du vet att | Du snälla vänta, vänta, håll ut | Du, håll ut, du vet att | Du, håll ut, du vet att",5M2y8QdDepGYMsWyxhoxQU
Ikväll Igen,Bolaget,1,i,,Och jag har legat naken i en cell | Och jag har legat naken i en cell | Och jag har legat naken i en cell | Nu ville du va han som försvann i det här | Och jag har legat naken i en cell | Och jag har legat naken i en cell | Och jag har legat naken i en cell,4o5Ob60pz8QHcFKcr4MWyf
Välkommen in,Veronica Maggio,2,"upp, i",ner,"Jag bor fyra trappor upp och du är välkommen in | För det är kö från gatan upp till hallen | För det är kö från gatan upp till hallen | Ja, det är det är kö från gatan upp till hallen | Flackande blickar upp och ner och igen, åh | För det är kö från gatan upp till hallen | För det är kö från gatan upp till hallen | Du, jag slänger ner en nyckel ifrån fönstret i köket | Massa skor i hela hallen, folk vid fläkten som röker | Det är fest hos mig i kväll och hela världen är min | Nu är alla i mitt kök och jag är alldeles paj",5MEuFY2DxrozPEgGpR8Fji
Sommartider,Gyllene Tider,1,i,ute,"Snurra runt i en stad som glöder | Som viskar, ""Bli min i natt"" | Läppar mot läppar som tar mig i land | Lev ditt lev i den tid som brinner | Läppar mot läppar, två hjärtan i brand | Läppar mot läppar som tar mig i land | Läppar mot läppar, två hjärtan i brand",1d1BeKPNgaQ36wcxGqnfU3
Trädgården en fredag,Veronica Maggio,2,"ner, i","långt, ut","Dom har legget i handen, blicken ner i marken, ingen blir vald | Dom har glitter på kinden, blicken ner i marken, alla på rad | Dom har legget i handen, blicken ner i marken, ingen blir vald | Dom har glitter på kinden, blicken ner i marken, alla på rad | Dom har legget i handen, blicken ner i marken, ingen blir vald | Dom har glitter på kinden, blicken ner i marken, alla på rad | Före i kön till trädgården en fredag? | Kan inte se svår ut, har handen i håret | Dom har legget i handen, blicken ner i marken, ingen blir vald | Dom har glitter på kinden, blicken ner i marken, alla på rad | ""Du är fin i neon"", sa du och jag tror att jag log | Dom har legget i handen, blicken ner i marken, ingen blir vald | Dom har glitter på kinden, blicken ner i marken, alla på rad | Dom har legget i handen, blicken ner i marken, ingen blir vald | Dom har glitter på kinden, blicken ner i marken, alla på rad",1oFoY6INRnHIpHY6ssPxBm
Töntarna,kent,1,ner,"upp, i","Så lägg dig ner och sov, lilla syster | Bara lägg dig ner och bida din tid nu | Lägg dig ner nu och sov, lilla syster | Bara lägg dig ner och bida din tid nu",6obXvjVF91KAeLNDOECFvi
Debut,Oskar Linnros,1,ner,"i, ut","Vi kan ta en paus i breaket, men nu går jag ner | Bara lägg dig ner | Det är första gången för mig med, bara lägg dig ner | Det är första gången för mig med, så lägg dig ner",1pz5OQpD60mtOyqX3fDf78
Egoist,kent,1,i,,Runt om i Sverige glöder bokbålen | Och plötsligt står du där övergiven i regnet | En fot i graven bland syrener och studenter | Och plötsligt står du där övergiven i regnet | En fot i graven bland syrener och studenter,6ZZA5LtiMyhmo4jU3oldOZ
Verkligheten,Veronica Maggio,1,i,ute,"Stanna kvar i tiden | Fin i tunnelbaneljuset | Skrev i imma, ""hjälp mig"" | Någon drar i dörren | Jag går som i en video",0ndLVZeY2xxbsphiUIK3JF
Förlåtelsen,kent,2,"långt, i",upp,"Nu är vi så långt, långt, långt, långt, långt | Alla hus i ruiner | Hand i hand med ett spöke | Finns det någon mening i att vänta på förlåtelsen, förlåtelsen? | Högt upp i ett sekelskifteshus | Och allting i min värld gick sönder | Finns det någon mening i att vänta på förlåtelsen, förlåtelsen?",4lgFAspCCj6QFU5Pk985kR
Drömmen har sagt sitt,Klara Keller,1,i,"upp, under",Din rygg den målas i zebramönster | Stoppljus färgat i blodrött | Står lutad mot en målad mur för mycket rödfärg i din kontur | Sina läppar togs i hans som att en ska bli två,4ti4WMgTHrusCrug8kfedk
Gjord av sten,Veronica Maggio,1,i,upp,"Fåglarna försvinner bort i fjärran och jag | Vet att det är nåt som står i vägen för att | Ingen orkar fråga sig i mörkret | Halvt i sömnen, halvt i drömmen",0jrcxfpLNXhbMGsHT0YkW8
För er,Daniel AdamsRay,1,i,"inne, långt, ut",Ett handslag i natten som får mig att tro att jag bottna | Nån satte klubben i brand (brand...) | Minns hur jag pekar mot himlen i Kenya | Dansar i natten till Miriam Makeba,1ih6Frm9HIWo9xYjDXKF7K
