name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Astronaut,Sido,1,oben,"unten, unter","Es gibt kein Vor und kein Zurück mehr, nur noch unten und oben | Ich seh' die Welt von oben | Ich hab' Zeit und Raum verloren hier oben | Hier oben ist alles so friedlich, doch da unten geht's ab | Von hier oben macht es alles plötzlich gar nichts mehr aus | Es gibt kein Vor und kein Zurück mehr, nur noch unten und oben | Ich seh' die Welt von oben | Ich hab' Zeit und Raum verloren hier oben | Ich seh' die Welt von oben (Ah) | Ich hab' Zeit und Raum verloren hier oben",0pQr5WsobmdZHnuObT0sc2
Treppenhaus,LEA,1,oben,unten,Ich halt' es nicht bis oben aus | Halt' es nicht bis oben aus | Ich halt' es nicht bis oben aus | Halt' es nicht bis oben aus | Ich halt' es nicht bis oben aus | Halt' es nicht bis oben aus | Ich halt' es nicht bis oben aus | Halt' es nicht bis oben aus,0psIeufUtT83Ot2dkLjQ0v
Durstlöscher,01099,1,über,,In ihr'm beigen Crop-Top und der Hose über den Schuh'n | In ihr'm beigen Crop-Top und der Hose über den Schuh'n | In ihr'm beigen Crop-Top und der Hose über den Schuh'n | In ihr'm beigen Crop-Top und der Hose über den Schuh'n | In ihr'm beigen Crop-Top und der Hose über den Schuh'n,2QAsTQ1tydZ6mhYH2FyzfG
Haare trocknen,01099,1,über,hinten,"Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend | Ey, über dreißig Grad auch noch am Abend",3pumsMT8WGMx4ddvzKmAPf
Die Eine 2005,Die Firma,1,über,,"Und keiner andern Frau trau' ich mehr über den Weg | Und keiner andern Frau trau' ich mehr über den Weg | Und Kleine, trotzdem, nichts geht über deine Art | Und keiner andern Frau trau' ich mehr über den Weg | Und keiner andern Frau trau' ich mehr über den Weg | Wenn ich über Liebe rapp', das hier hält ewig (Yeah) | Und keiner andern Frau trau' ich mehr über den Weg | Und keiner andern Frau trau' ich mehr über den Weg",3jd4ya9vCwExxTVOjPcqsf
Augenblick,01099,1,über,,"Und weil ich nicht penn'n kann, schreib' ich über dich ein'n (Über dich) | Und weil ich nicht penn'n kann, schreib' ich über dich ein'n Hit | Und weil ich nicht penn'n kann, schreib' ich über dich ein'n Hit (Über dich) (Ey) | Und weil ich nicht penn'n kann, schreib' ich über dich ein'n Hit | Und weil ich nicht penn'n kann, schreib' ich über dich ein'n Hit (Über dich)",3m0ROY5WALPwqdsaraxN6i
Wir Sind Groß,Mark Forster,1,hoch,nah,"Wir fliegen weg, denn wir leben hoch | Wir fliegen weg, denn wir leben hoch | Wir fliegen weg, denn wir leben hoch | Wir fliegen weg, denn wir leben hoch | Wir fliegen weg, denn wir leben hoch | Wir fliegen weg, denn wir leben hoch",7AraSdlKIOoPCLRKkI3WjP
Zusammen feat Clueso feat Clueso,Die Fantastischen Vier,1,hoch,"nah, über","Nehmt die Flossen hoch, und die Tassen auch | Nehmt die Flossen hoch, und die Tassen auch | Nehmt die Flossen hoch, und die Tassen auch | Nehmt die Flossen hoch, und die Tassen auch",0eV2yonbivxFUtGm8RrGd8
Du und Ich,Clueso,1,über,hinten,Schon über ihn | Schon über ihn | Schon über sie | Schon über sie,0InIjC22JigGNL2pCOtqHx
Kreise,Johannes Oerding,2,"links, rechts",,"Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts | Dann gehst du links, dann geh' ich rechts",3CIeSEA8R2KxY40JSqxL41
