name,artist,totalMatches,foundWords,unplayableWords,matchedLines,track_id
Liebe zu dritt,Provinz,1,aus,"hoch, in","Und alle sehen gut aus, alle sind nackt | Such' ein'n Platz auf der Wiese aus | Ich hol' dich ab, ich führ' dich aus | Freier Himmel, zieh'n uns aus | Weil du siehst so gut im Bikini aus",1CeL9v59rZeFX63hYI4eAO
Ich will,Miksu  Macloud,1,in,,"Ich will in den Himmel, aber sterben will ich nicht, ja | Ich will in den Himmel, aber sterben will ich nicht, ja | Ich will in den Himmel, aber sterben will ich nicht, ja | Ich will in den Himmel, aber sterben will ich nicht, ja | Fühl' mich alleine, auch in 'nem Raum voller People, ja | Ja, verliebt in sie, ja, verliebt in Weed | Ich will in den Himmel, aber sterben will ich nicht, ja | Ich will in den Himmel, aber sterben will ich nicht, ja",16HZAn6XX5XIzKMqcZYoIY
Kippen  Schlechter Wein,Ritter Lean,1,in,"links, rechts","Sie ist verliebt in | Sie ist verliebt in Camel Blue und dieses Chardonnay | Aber ich glaub', das will sie nicht, weil sie ist nicht verliebt in mich | Sie ist verliebt in | Sie ist verliebt in die Kippen und den schlechten Wein | Sie fällt jedem in den Arm, doch warum fällt sie nie in mein'n? | Sag, warum fällst du nie in mein'n? | Sie ist verliebt in | Sie ist verliebt in die Kippen und den schlechten Wein",6WrxkzUIrCUfKXo6DxKibh
Anders,01099,2,"in, aus",hoch,"Picaldi-Jeans in Hellblau aus 2004 | Picaldi-Jeans in Hellblau aus 2004 | Picaldi-Jeans in Hellblau aus 2004 | Wir sind Streuner in Nikes und 90er-Jeans | Schaue in den Himmel und das Schwarz wird langsam bläulich | Picaldi-Jeans in Hellblau aus 2004 | Picaldi-Jeans in Hellblau aus 2004 | Picaldi-Jeans in Hellblau aus 2004 | Komm' mittags aus dem Club, doch bleibe einfach draußen | Geh' Mauerpark zum Flohmarkt und kauf' Kleidung aus 2000 | Picaldi-Jeans in Hellblau aus 2004 | Picaldi-Jeans in Hellblau aus 2004 | Doch sind aus Verseh'n weitergefahr'n | Picaldi-Jeans in Hellblau aus 2004 | Picaldi-Jeans in Hellblau aus 2004",5RKvst7SDOCTWGlLcF6kSE
Wolken am Abend,Carlo5,1,in,,"Was da drin in dei'm Joint? Knockout schon vom ersten Zug | Gut, dass du da bist, und Zutage in Ektase | Es ist süß in den Straßen, deine Welt ist 'ne Oase | Sommertage in Ekstase | Es ist süß in den Straßen, meine Welt ist 'ne Oase",16M87fBeuDhq4yJOTLN1fd
Blicke kreuzen,frytz,1,in,,"Wie viel liegt in einem Blick? Ja, ich weiß es auch nicht | Fließt in meinem Kopf so wie ein Fluss, ja, ich hab' dich auf Repeat | Ich brauch' hundert Leben, denn in einem könnt es klappen | Ja, das Aufzugslicht strahlt kalt in Neonfarben | Ich kann dich ein bisschen mehr erkenn'n in dein'n grün'n-braun'n Augen | Und alles ist wie in 'nem Traum, frag' mich, wann prall' ich auf? | Und alles ist wie in 'nem Traum, frag' mich, wann prall' ich auf?",09nmDKT60f0LMaNZMuwnhX
Nachts wach,Miksu  Macloud,1,in,aus,"Babe, ich bin verliebt in deine Art und in dein Ausseh'n | Ich schmeiß' alles weg, nur weil ich's selber in der Hand hab' | Ich schmeiß' alles weg, nur weil ich's selber in der Hand hab' | Sie sagt mir, sie liebt mich und den Schmerz in meiner Stimme | Ah, ich such' die Hölle in mei'm Himmel | Ich schmeiß' alles weg, nur weil ich's selber in der Hand hab' | Ich schmeiß' alles weg, nur weil ich's selber in der Hand hab' | Ich schmeiß' alles weg, nur weil ich's selber in der Hand hab'",3kgt8Ys78I6GBZlQrWqZiA
OHMEINGOTT,Ritter Lean,1,in,,"Ich hau' das ganze Geld von mei'm Label-Deal in mein'n Fit und zu viel Bier | Und komm'n wir in die Hölle, dann hab'n wir gelebt | Wenn ich in die Hölle komm', sag, wo kommt dann ein Nazi hin? | Aber sie kommt nicht in' Himmel, weil sie trägt ein'n kurzen Rock",7AKYrp5j7ZxOzbx7KV9iyR
BRING ME HOME,Rrotzer,1,in,aus,"I fall apart in hundert einzelne Teile | I fall apart in hundert einzelne Teile | Ich steck' fest in meinem Kopf, ich will rennen, ich will schrei'n | I fall apart in hundert einzelne Teile",5tTxzVAy7Z4tNcbO96GuBD
Tanzalarm,01099,1,in,,"Mit der Entourage in deine Bar | Ekstase (Ah), Sekt in der Mate | Mit der Entourage in deine Bar | Mit der Entourage in deine Bar | Mit der Entourage in deine Bar",1wtXpsjzyFyCh4mOtHbZTl
Crash Dummy,BHZ,1,in,aus,"Ja, sie schaut in mein Gesicht, sie sagt, sie sieht darin nichts | Ja, sie schaut in mein Gesicht, sie sagt, sie sieht darin nichts | Ja, lauf' mit Brüdern durch die Stadt, ich hab' Feelings in mein' Cup | Molly-Rock in meinen Socken, Party machen mit mein'n Atzen",0kEO3qtCCZN8S42RdL1fp2
allein mit dir,frytz,1,in,,"Und dann muss ich schon eher back in eine andere Stadt (Ja, fuck) | Und in den letzten fünf Minuten sag'n wir mehr als in den letzten fünf Jahr'n, ja | Random Menschen in den DMs drücken mir ihr'n Text",7a7yBlS1lis9vtdV3Nq8xS
Cider,01099,1,aus,in,"Sie ist so kalt, ich rutsche aus so wie auf Eis | Sie ist so kalt, ich rutsche aus so wie auf Eis | Sie ist so kalt, ich rutsche aus so wie auf Eis | Sie ist so kalt, ich rutsche aus, so wie auf Eis | Sie ist so kalt, ich rutsche aus so wie auf Eis | Sie ist so kalt, ich rutsche aus so wie auf Eis",3Dwpw7G06KapVKxZAwPzNR
Powerade,BHZ,1,in,aus,"Lauf' durch Hood mit einem Lächeln, kauf' 'ne Powerade in Blau | Chill'n den ganzen Tag im Park und kippe Bierchen in mein'n Bauch | Eine Molle in mei'm Magen und hab' Shawty in mein' Arm | Eine Molle in mei'm Magen und hab' Shawty in mein' Arm | Doch bis dahin geb' ich Vollgas in ei'm Benz durch Hood | Vintage YSL, Jacquemus und Samy in Margielas | Eine Molle in mei'm Magen und hab' Shawty in mein' Arm | Eine Molle in mei'm Magen und hab' Shawty in mein' Arm",20l2YWgtEXAAAEzoWs3gkE
Boys Do Cry,Kasi,1,in,,"Mein Zimmer fühlt sich klein an, ich schlaf' in fremden Betten | Mein Zimmer fühlt sich klein an, ich schlaf' in fremden Betten | Mein Zimmer fühlt sich klein an, ich schlaf' in fremden Betten | Mein Zimmer fühlt sich klein an, ich schlaf' in fremden Betten",1iICY8qXRZKHThDyFYJql1
Changes,Rowli,1,in,,"Fühl' mich besser in 'nem Stu, früher war ich immer leş | Fühl' mich besser in 'nem Stu, früher war ich immer leş | Bin am machen, doch bis heute noch kein Ende in Sicht | Fühl' mich besser in 'nem Stu, früher war ich immer leş | Fühl' mich besser in 'nem Stu, früher war ich immer leş",3FaWMH0C3VxY5fDknvr5zB
immer allein,Rrotzer,1,in,,Doch kommst in mein Zimmer nicht rein | Und bin ich allein' in jener Nacht | Dann spiel ich ein Song in dem ich frag' | Doch kommst in mein Zimmer nicht rein | Doch kommst in mein Zimmer nicht rein,4b6wihjhzAjo2TJXLDSM5z
25grad feat Kasi,01099,1,in,,"Drittes Biеrchen in mei'm Magen, dеshalb leicht verschwomm'ne Sicht | Fünfundzwanzig Grad, Sommerwind in meinen Haar'n | Ich schau' hier viel zu viel auf andre und zu tief in mein Glas | Fünfundzwanzig Grad, Sommerwind in meinen Haar'n",06UcT73c5iTJ0XJzWAS83U
Bags,Rowli,1,in,,"Shawty ist in love und ich geh' mit ihr auf Reise | Shawty ist in love und ich geh' mit ihr auf Reise | Shawty ist in love und ich geh' mit ihr auf Reise | Shawty ist in love und ich geh' mit ihr auf Reise | Ganz egal, was du auch machst, du brauchst kein'n Stress in deinem Leben, yeah | Bist du glücklich in dei'm Leben, bist du wirklich endlich reich, ey | Shawty ist in love und ich geh' mit ihr auf Reise | Shawty ist in love und ich geh' mit ihr auf Reise",6FfKS7iz7t2Vv3p2rqOoe9
Zungkuss,Ritter Lean,1,in,aus,"Einе Molle, gib ma' jedem eine in die Hand (Hand) | Eine Molle in die Hand, ey | Eine Molle, gib ma' jedem eine in die Hand (Hand) | Eine Molle in die Hand, ey | Eine Molle in die Hand",5E0TnhyZbOsygOe2xQUrCc
FÜHL NICHTS,moi,1,in,,"Fuck, in manchen Nächten wäre ich lieber (Tod) | Hundert Jahre sind in meinem Sparschwein | Ich geb deepe Zeil'n bis ich mir dann in den Schädel schieß', ey | Werf mein Geld in Faces bis es jeder sieht, ey | Alles was ich produziere klingt scheiße in mein' Ohr'n, ja ja | Chill mit einer Mille Cash ganz alleine in vier Wänden",4KNmhUzBPgrnSAl9rhuSXI
